,tracklet_duration,set_id,video_1,video_2
54,499.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
55,135.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
56,272.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
57,48.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
58,10.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
59,3143.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
60,37.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
61,328.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
62,31.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
63,88.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
64,231.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
65,2291.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
66,322.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
67,381.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
68,35.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
69,1156.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
70,90.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
71,369.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
72,1498.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
73,605.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
74,880.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
75,799.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
76,1003.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
77,17.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
78,3834.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
79,618.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
80,343.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
81,241.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
82,248.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
83,1095.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
84,126.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
85,45.0,Set 2,20230313_SE_Lek1_P1D1_DJI_0294,20230313_SE_Lek1_P2D3_DJI_0310
